Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_60,"
Amap Du Beaufortain","Place Frison Roche
73270
Beaufort",Place Frison Roche,CP_73270,Beaufort,Beaufort,CI_73034,BV_73034,Beaufort,ZE_8413,La Tarentaise,"45,7179417","6,5735995",,
id_61,"
Amap Du","22 Rue Charrel
38000
Grenoble",22 Rue Charrel,CP_38000,Grenoble,Grenoble,CI_38185,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1826213","5,712588497",,
id_62,Amap Du Bourbonnais,"42 Rue du Progrés
03000
Moulins",42 Rue du Progrés,CP_03000,Moulins,Moulins,CI_03190,BV_03190,Moulins,ZE_8424,Moulins,"46,5744545","3,3366129",,
id_63,Amap Du Clos D'Allinges,"Chemin Des Marais De Durzilly Au Hameau De Mésinge
74200
Allinges",Chemin Des Marais De Durzilly Au Hameau De Mésinge,CP_74200,Allinges,Allinges,CI_74005,BV_74281,Thonon-les-Bains,ZE_8415,Le Chablais,46.39537,6.61368,,
id_64,Amap Du Creux,"Place Louis Conte, salle Roger Baudy
42400
Saint-Chamond","Place Louis Conte, salle Roger Baudy",CP_42400,Saint-Chamond,Saint-Chamond,CI_42207,BV_42218,Saint-Étienne,ZE_8428,Saint Etienne,45.4736,4.5254,,
id_65,"
Amap Du Genevois","74160
Saint-Julien-en-Genevois",,CP_74160,Saint-Julien-en-Genevois,Saint-Julien-en-Genevois,CI_74243,BV_74243,Saint-Julien-en-Genevois,ZE_8416,Le Genevois Français,"46,1444789","6,0812467",,
id_66,"
Amap Du Manival - Gresivaudan","Rue François Mitterrand
38920
Crolles",Rue François Mitterrand,CP_38920,Crolles,Crolles,CI_38140,BV_38140,Crolles,ZE_8409,Grenoble,"45,2751026","5,8812797",,
id_67,Amap Du Pays De Gex,"Grand Rue
01210
Ferney-Voltaire",Grand Rue,CP_01210,Ferney-Voltaire,Ferney-Voltaire,CI_01160,BV_01160,Ferney-Voltaire,ZE_8416,Le Genevois Français,"46,2561209","6,1102861",,
id_68,Amap Du Pays De St-Marcellin - Sud Gresivaudan,"3 Boulevard du Champ de Mars
38160
Saint-Marcellin",3 Boulevard du Champ de Mars,CP_38160,Saint-Marcellin,Saint-Marcellin,CI_38416,BV_38416,Saint-Marcellin,ZE_8435,Voiron,"45,1536723","5,3189406",,
id_69,Amap Du Pays Viennois St Germain - Nord Isere,"30 Avenue Général Leclerc
38200
Vienne",30 Avenue Général Leclerc,CP_38200,Vienne,Vienne,CI_38544,BV_38544,Vienne,ZE_8433,Vienne-Annonay,"45,5132156","4,8657538",,
